Precision,Recall,F1
0.5454545454545454,0.5,0.5217391304347826
0.6,0.45,0.5142857142857143
0.5625,0.42857142857142855,0.4864864864864864
0.8,0.4444444444444444,0.5714285714285714
0.2,0.1111111111111111,0.14285714285714285
0.42857142857142855,0.21428571428571427,0.2857142857142857
0,0.0,0
0.0,0.0,0
0.2857142857142857,0.2222222222222222,0.25
0.4444444444444444,0.36363636363636365,0.39999999999999997
0.5,0.7142857142857143,0.588235294117647
0.46153846153846156,0.42857142857142855,0.4444444444444445
0.42857142857142855,0.3,0.3529411764705882
0.3333333333333333,0.2727272727272727,0.3
0.36363636363636365,0.27586206896551724,0.3137254901960784
0.8333333333333334,0.5555555555555556,0.6666666666666667
0.42857142857142855,0.3157894736842105,0.36363636363636365
0.4,0.2222222222222222,0.2857142857142857
0.36363636363636365,0.26666666666666666,0.30769230769230765
0.7777777777777778,0.7,0.7368421052631577
0.7142857142857143,0.38461538461538464,0.5
0.6666666666666666,0.6666666666666666,0.6666666666666666
0.5294117647058824,0.4090909090909091,0.46153846153846156
0.7222222222222222,0.41935483870967744,0.5306122448979592
0.56,0.35,0.4307692307692308
0.5714285714285714,0.45454545454545453,0.5063291139240506
0.375,0.375,0.375
0.47058823529411764,0.32,0.38095238095238104
0.26666666666666666,0.21052631578947367,0.23529411764705882
0.3076923076923077,0.3333333333333333,0.32
0.4375,0.2692307692307692,0.33333333333333337
0.5,0.3333333333333333,0.4
0.1875,0.125,0.15
0.5,0.25862068965517243,0.34090909090909094
0.4444444444444444,0.25,0.32
0.375,0.25,0.3
0.375,0.21428571428571427,0.2727272727272727
0.6470588235294118,0.3548387096774194,0.4583333333333333
0.25,0.14285714285714285,0.18181818181818182
0.6363636363636364,0.56,0.5957446808510639
0.391304347826087,0.2903225806451613,0.33333333333333337
0.5151515151515151,0.3269230769230769,0.4
0.5555555555555556,0.43478260869565216,0.4878048780487805
0.6363636363636364,0.3783783783783784,0.4745762711864407
0.7894736842105263,0.5,0.6122448979591837
0.5263157894736842,0.2702702702702703,0.35714285714285715
0.2631578947368421,0.25,0.25641025641025644
0.65,0.5652173913043478,0.6046511627906976
0.6111111111111112,0.5,0.55
0.44,0.3333333333333333,0.37931034482758624
0.5625,0.2647058823529412,0.36000000000000004
0.6666666666666666,0.4,0.5
0.5333333333333333,0.41379310344827586,0.4660194174757281
0.6666666666666666,0.8,0.7272727272727272
0.35714285714285715,0.5,0.41666666666666663
0.625,0.35714285714285715,0.45454545454545453
0.3,0.16666666666666666,0.21428571428571427
0.23529411764705882,0.13333333333333333,0.1702127659574468
0.23529411764705882,0.12903225806451613,0.16666666666666666
0.5,0.5,0.5
0.4,0.2857142857142857,0.3333333333333333
0.6956521739130435,0.5517241379310345,0.6153846153846154
0.7916666666666666,0.5757575757575758,0.6666666666666667
0.6666666666666666,0.5263157894736842,0.5882352941176471
0.6666666666666666,0.5,0.5714285714285715
0.5454545454545454,0.5454545454545454,0.5454545454545454
0.14285714285714285,0.08333333333333333,0.10526315789473685
0.5882352941176471,0.43478260869565216,0.5
0.8,0.2222222222222222,0.3478260869565218
0.5,0.3235294117647059,0.3928571428571429
0.5,0.3,0.37499999999999994
0.4444444444444444,0.5,0.47058823529411764
0.8235294117647058,0.5833333333333334,0.6829268292682927
0.6,0.5,0.5454545454545454
0.5,0.2222222222222222,0.30769230769230765
0.25,0.19230769230769232,0.2173913043478261
0.4,0.6666666666666666,0.5
0.7777777777777778,0.4375,0.56
0.5714285714285714,0.2857142857142857,0.38095238095238093
0.44,0.4074074074074074,0.4230769230769231
0.7142857142857143,0.47619047619047616,0.5714285714285714
0.5454545454545454,0.46153846153846156,0.4999999999999999
0.68,0.6071428571428571,0.6415094339622641
0.75,0.5294117647058824,0.6206896551724139
0.5384615384615384,0.3684210526315789,0.4375
0.7142857142857143,0.5882352941176471,0.6451612903225806
0.45454545454545453,0.38461538461538464,0.41666666666666663
0.8709677419354839,0.5192307692307693,0.6506024096385542
0.5,0.25,0.3333333333333333
0.6842105263157895,0.4642857142857143,0.5531914893617021
0.35294117647058826,0.35294117647058826,0.35294117647058826
0.6363636363636364,0.2692307692307692,0.37837837837837834
0.5,0.2,0.28571428571428575
0.6363636363636364,0.4117647058823529,0.5
0.75,0.4838709677419355,0.5882352941176471
0.6666666666666666,0.5,0.5714285714285715
0.5,0.2,0.28571428571428575
0.6086956521739131,0.5185185185185185,0.5599999999999999
0.5,0.5263157894736842,0.5128205128205129
0.5333333333333333,0.38095238095238093,0.4444444444444444
0.6153846153846154,0.34782608695652173,0.4444444444444444
0.6153846153846154,0.38095238095238093,0.47058823529411764
0.65,0.37142857142857144,0.4727272727272728
0.5,0.18181818181818182,0.26666666666666666
0.5333333333333333,0.38095238095238093,0.4444444444444444
0.2857142857142857,0.1935483870967742,0.23076923076923075
0.45454545454545453,0.45454545454545453,0.45454545454545453
0.3333333333333333,0.2,0.25
0.6818181818181818,0.5,0.576923076923077
0.6666666666666666,0.4,0.5
0.6153846153846154,0.38095238095238093,0.47058823529411764
0.14285714285714285,0.09090909090909091,0.1111111111111111
0.5,0.4166666666666667,0.45454545454545453
0.8846153846153846,0.6764705882352942,0.7666666666666666
0.4,0.25,0.3076923076923077
0.29411764705882354,0.19230769230769232,0.23255813953488372
0.4,0.4,0.4000000000000001
0.5714285714285714,0.6666666666666666,0.6153846153846153
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.4,0.3333333333333333,0.3636363636363636
0.4482758620689655,0.23214285714285715,0.3058823529411765
0.6666666666666666,0.4,0.5
